document_title,source_url,document_type,session,date,year,question_number,asked_by,minister,section,question_text,parts_count
"Friday, 10th June, 2022",https://www.parliament.gov.zm/node/10175,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,336,Mr Mandandi (Sioma),Minister of Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the following Schools in Sioma District will be included on the Establishment Register: (i) the 34 community schools which were upgraded to Government schools; (ii) Kalongola Secondary School; (iii) Mulele Secondary School; and (iv) Mutomena Secondary School; and (b) what the cause of the delay in including the schools on the Register is.,3
"Friday, 10th June, 2022",https://www.parliament.gov.zm/node/10175,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,337,Mr C Chibuye (Mkushi North),Minister of Home Affairs and Internal Security,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to upgrade Masansa Police Post in Mkushi District to a police station; and (b) if so, when the plans will be implemented. NOTICE OF MOTION Mr Lusambo Adopt Report of the Committee on Local Governance, Housing and Chiefs’ Affairs: That this House do adopt the Report of the Committee on Local Governance, Housing and Chiefs’ Affairs, for the First Session of the Thirteenth National Assembly, laid on the Table of the House on Thursday, 31st May, 2022. ORDER OF THE DAY 1. The Judges (Conditions of Service) (Amendment) Bill      (N.A.B 6/2022) Second Reading __________________________",2
"Thursday, 20th June, 2019",https://www.parliament.gov.zm/node/7966,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,393,Mr P Phiri (Mkaika),Minister of Home Affairs,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to rehabilitate the Katete Correctional Centre; (b) if so, when the plans will be implemented; (c) when the construction of a new kitchen at the Centre will commence; and (d) what the time frame for the completion of the project at (c) is.",4
"Thursday, 20th June, 2019",https://www.parliament.gov.zm/node/7966,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,394,Mr Lufuma (Kabompo),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) how much money is owed to transporters of farming inputs for the 2017/2018 farming season countrywide; (b) how much is owed to the transporters in Kabompo District; and (c) when the outstanding amounts will be paid to the transporters in the District.,3
"Thursday, 20th June, 2019",https://www.parliament.gov.zm/node/7966,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,395,Ms Langa (Chilanga),Minister of Home Affairs,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct an office block for the Department of National Registration, Passport and Citizenship in Chilanga District; and (b) if so, when the plans will be implemented.",2
"Thursday, 20th June, 2019",https://www.parliament.gov.zm/node/7966,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,396,Mr Mung’andu (Chama South),Minister of Health,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the construction of health posts under the 650 Health Posts Project in the following areas in Chama South Parliamentary Constituency will commence: (i) Ng’anjo Bazimu in Chief Tembwe’s Chiefdom; (ii) Pondo in Chief Chikwa’s Chiefdom; and (iii) Zebe in Chief Chifunda’s Chiefdom; (b) what has caused the delay in commencing the project; and (c) when staff will be deployed to the following health posts: (i) Kalasa in Mapamba area; and (ii) Chimphamba in Chief Chikwa’s Chiefdom.,5
"Thursday, 20th June, 2019",https://www.parliament.gov.zm/node/7966,Order Paper,THIRD SESSION OF THE TWELFTH ASSEMBLY,,,397,Dr Chanda (Bwana Mkubwa),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) whether the Government has any plans to construct the following infrastructure at the Kantolomba Cemetery in Bwana Mkubwa Parliamentary Constituency: (i) a mourners’ shelter; and (ii) a tarred road; and (b) if so, when the plans will be implemented. PRESENTATION OF GOVERNMENT BILL The Minister of Health The Food Safety - Bill to provide for the protection of the public against health hazards and fraud in the manufacture, sale and use of food; provide for a streamlined process for regulatory clearances for regulatory health requirements for food premises; establish the Food Safety Coordinating Committee and provide for its functions and powers; provide for health inspection reports and report notices; establish the National Food Laboratory; repeal the Food and Drugs Act, 1972 and sections 79 and 83 of the Public Health Act, 1972; and provide for matters connected with, or incidental to, the foregoing. (N.A.B. 9/2019)",3
"Friday, 18th September, 2020",https://www.parliament.gov.zm/node/8453,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,27,Mr Kabanda (Serenje),Minister of Local Government,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) why the construction of township roads in Serenje District has stalled; (b) when the project will resume; (c) what the total cost of the project is; and (d) what the time frame for the completion of the project is.,4
"Friday, 18th September, 2020",https://www.parliament.gov.zm/node/8453,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,28,Mr Putu (Mangango),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when the rehabilitation of the Nkeyema-Kaoma stretch of the Lusaka-Mongu road will commence; (b) what the cause of the delay in commencing the project is; (c) what the cost of the project is; and (d) what the time frame for the completion of the project is.,4
"Friday, 18th September, 2020",https://www.parliament.gov.zm/node/8453,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,29,Ms Kucheka (Zambezi West),Minister of Chiefs and Traditional Affairs,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) how many palaces, countrywide, were earmarked for construction under Phase I of the project to construct chiefs’ palaces; (b) how many palaces were completed as of July, 2020; (c) when the rest will be completed; (d) when Phase II of the project will commence; and (e) how many palaces are earmarked for construction in Phase II.",5
"Friday, 18th September, 2020",https://www.parliament.gov.zm/node/8453,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,30,Mr Mecha (Chifunabuli),Minister of General Education,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),(a) when trained teachers will be deployed to the following Community Schools in Chifunabuli Parliamentary Constituency: (i) Mulonga; (ii) Shipangwa; (iii) Chombwe; and (iv) Ponga; and (b) what has caused the delay in deploying teachers to the Schools.,3
"Friday, 18th September, 2020",https://www.parliament.gov.zm/node/8453,Order Paper,FIFTH SESSION OF THE TWELFTH ASSEMBLY,,,31,Mr Kakubo (Kapiri Mposhi),Minister of Housing and Infrastructure Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 30),"(a) when the rehabilitation of the Mukobeko-Mpunde-Lukanga road in Kapiri-Mposhi District will commence; (b) whether the Government has any plans to tar the road; (c) if so, when the plans will be implemented; and (d) if there are no such plans, why. QUESTIONS FOR WRITTEN ANSWER W5. Mr Michelo (Bweengwa) - to ask the Minister of Housing and Infrastructure Development: (a) what the distribution of roads under the Link Zambia 8000 Road Programme by kilometre, province by province, is; (b) at what stage of completion, in percentage terms, each road was, as of July, 2020; and (c) what criteria were used to identify the roads in each province. W6. Mrs M L Phiri (Chilanga) - to ask the Minister of Local Government: (a) in which districts the Government was constructing the following infrastructure as of July, 2020: (i) modern markets; and (ii) intercity bus termini; (b) whether the Government has any plans to construct the infrastructure above in all provincial centres; and (c) if so, when the plans will be implemented.",11
"Wednesday, 27th November, 2024",https://www.parliament.gov.zm/node/12027,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,135,Mr C Mulenga (Kwacha),Minister of Education,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) when the construction of the Copperbelt University students’ hostels will be completed; (b) when the works will resume; (c) what the cause of the delay in completing the project is; and (d) what the cost of the outstanding works on the project is.,4
"Wednesday, 27th November, 2024",https://www.parliament.gov.zm/node/12027,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,136,Mr Menyani Zulu (Nyimba),Minister of Local Government and Rural Development,5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),"(a) whether the Government has any plans to upgrade selected roads in Nyimba District to bituminous standard; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; (d) how many kilometres of roads will be upgraded; and (e) if there are no such plans, why.",5
"Wednesday, 27th November, 2024",https://www.parliament.gov.zm/node/12027,Order Paper,FOURTH SESSION OF THE THIRTEENTH ASSEMBLY,,,137,Mr Kasandwe (Bangweulu),"Minister of Infrastructure, Housing and Urban Development",5. QUESTIONS FOR ORAL ANSWER (STANDING ORDER 80),(a) when the construction of Mpanta-Katanshya-Kapata road in Bangweulu Parliamentary Constituency will commence; (b) what the time frame for the completion of the project is; (c) who the contractor for the project is; and (d) what the cost of the project is.,4
"Wednesday, 20th October, 2021",https://www.parliament.gov.zm/node/9842,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,48,Mr Fube (Chilubi),"Minister of Infrastructure, Housing and Urban Development",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to tar the Luwingu-Nsombo-Chaba road in Northern Province; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; and (d) what the estimated time frame for the completion of the project is.",4
"Wednesday, 20th October, 2021",https://www.parliament.gov.zm/node/9842,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,49,Ms Halwiindi (Kabwe Central),Minister of Agriculture,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the silos in Natuseko Site and Service in Kabwe District; and (b) if so, when the plans will be implemented.",2
"Wednesday, 20th October, 2021",https://www.parliament.gov.zm/node/9842,Order Paper,FIRST SESSION OF THE THIRTEENTH ASSEMBLY,,,50,Mr Kamondo (Mufumbwe),"Minister of Infrastructure, Housing",QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),(a) when the construction of science laboratories at the following Secondary Schools in Mufumbwe Parliamentary Constituency will be completed: (i) Kaminzekezeke; (ii) Kalende; and (iii) Kashima; and (b) what the cause of the delay in completing the project is. ___________________________,3
"Friday, 22nd September, 2023",https://www.parliament.gov.zm/node/11265,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,44,Mr E Daka (Msanzala),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to revamp the Enhanced Small Holder Livestock Investment Programme (E-SLIP); (b) if so, when the plans will be implemented; (c) how many farmers, countrywide, will benefit from the Programme; (d) how much money will be allocated towards revamping the Programme; and (e) if there are no such plans, why.",5
"Friday, 22nd September, 2023",https://www.parliament.gov.zm/node/11265,Order Paper,THIRD SESSION OF THE THIRTEENTH ASSEMBLY,,,45,Mr Miyutu (Kalabo Central),Minister of Fisheries and Livestock,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) how many dip tanks and spray races there were in Kalabo District, as of August, 2023; (b) whether there are any plans to construct additional dip tanks and spray races in the District; (c) if so, when the plans will be implemented; and (d) if there are no such plans, why. NOTICE OF MOTION Mr Chabinga Adopt Report of the Parliamentary Select Committee: That this House do adopt the Report of the Parliamentary Select Committee appointed to scrutinise the Presidential appointment of Mr Roy Ngulube, to serve as Clerk of the National Assembly, Dr Pamela Towela Sambo, Dr Felicity Kayumba Kalunga, Mrs Panic Malawo Chilufya and Fr Joseph Komakoma, to serve as Chairperson, Vice Chairperson and Commissioners of the Human Rights Commission, respectively, and Dr Tommy Susiku Namitondo, to serve as Commissioner of the Anti-Corruption Commission, for the Third Session of the Thirteenth National Assembly, laid on the Table of the House on Thursday, 21st September, 2023 ORDER OF THE DAY 1. Thanks –His Excellency the President’s Address - Motion (13th September) - Resumption of Debate. ___________________________",4
"Wednesday, 14th June, 2023",https://www.parliament.gov.zm/node/11062,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,288,Mr Miyutu (Kalabo Central),Minister of Energy,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to construct an oil pipeline between Namibia and Zambia; and (b) if so, when construction works will commence.",2
"Wednesday, 14th June, 2023",https://www.parliament.gov.zm/node/11062,Order Paper,SECOND SESSION OF THE THIRTEENTH ASSEMBLY,,,289,Mr Elias Musonda (Chimbamilonga),Minister of Local Government and Rural Development,QUESTIONS FOR ORAL ANSWER (STANDING ORDER 74),"(a) whether the Government has any plans to rehabilitate the following roads in Chimbamilonga Parliamentary Constituency: (i) Roma – Kakoma – Mupandi – Kabompo; (ii)     Kananda – Katele; (iii) Kampinda Turn-Off – Kashikishi; (iv) Tupele – Mikose; (v) Mwewe – Munwa – Cholwe; (vi) Chilemba – Kapisha; and (vii) Katwatwa – Banda; (b) if so, when the plans will be implemented; (c) what the estimated cost of the project is; (d) what the estimated time frame for the completion of the project is;  and (e) if there are no such plans, why.",7
